OwnerAddress,Address,City,State
"1808  FOX CHASE DR, GOODLETTSVILLE, TN","1808  FOX CHASE DR"," GOODLETTSVILLE"," TN"
"1832  FOX CHASE DR, GOODLETTSVILLE, TN","1832  FOX CHASE DR"," GOODLETTSVILLE"," TN"
"1864  FOX CHASE DR, GOODLETTSVILLE, TN","1864  FOX CHASE DR"," GOODLETTSVILLE"," TN"
"1853  FOX CHASE DR, GOODLETTSVILLE, TN","1853  FOX CHASE DR"," GOODLETTSVILLE"," TN"
"1829  FOX CHASE DR, GOODLETTSVILLE, TN","1829  FOX CHASE DR"," GOODLETTSVILLE"," TN"
"1821  FOX CHASE DR, GOODLETTSVILLE, TN","1821  FOX CHASE DR"," GOODLETTSVILLE"," TN"
"2005  SADIE LN, GOODLETTSVILLE, TN","2005  SADIE LN"," GOODLETTSVILLE"," TN"
"1917  GRACELAND DR, GOODLETTSVILLE, TN","1917  GRACELAND DR"," GOODLETTSVILLE"," TN"
"1428  SPRINGFIELD HWY, GOODLETTSVILLE, TN","1428  SPRINGFIELD HWY"," GOODLETTSVILLE"," TN"
"1420  SPRINGFIELD HWY, GOODLETTSVILLE, TN","1420  SPRINGFIELD HWY"," GOODLETTSVILLE"," TN"
