PropertyAddress,Address,City
"1808  FOX CHASE DR, GOODLETTSVILLE","1808  FOX CHASE DR"," GOODLETTSVILLE"
"1832  FOX CHASE DR, GOODLETTSVILLE","1832  FOX CHASE DR"," GOODLETTSVILLE"
"1864 FOX CHASE  DR, GOODLETTSVILLE","1864 FOX CHASE  DR"," GOODLETTSVILLE"
"1853  FOX CHASE DR, GOODLETTSVILLE","1853  FOX CHASE DR"," GOODLETTSVILLE"
"1829  FOX CHASE DR, GOODLETTSVILLE","1829  FOX CHASE DR"," GOODLETTSVILLE"
"1821  FOX CHASE DR, GOODLETTSVILLE","1821  FOX CHASE DR"," GOODLETTSVILLE"
"2005  SADIE LN, GOODLETTSVILLE","2005  SADIE LN"," GOODLETTSVILLE"
"1917 GRACELAND  DR, GOODLETTSVILLE","1917 GRACELAND  DR"," GOODLETTSVILLE"
"1428  SPRINGFIELD HWY, GOODLETTSVILLE","1428  SPRINGFIELD HWY"," GOODLETTSVILLE"
"1420  SPRINGFIELD HWY, GOODLETTSVILLE","1420  SPRINGFIELD HWY"," GOODLETTSVILLE"
